ZCTA5CE,commute_min_proxy_2019,ttw_total_2019
60184,33.806748466257666,1141
60185,27.250421253650863,17804
60187,29.453508573155073,13239
60188,32.086392142396015,21686
60189,32.28762459637793,14246
60190,34.23808654372832,5477
60191,30.69480335084481,7043
60192,39.106305578011316,7422
60193,32.04748492934085,20238
60194,34.78675298804781,10040
60195,33.36632693061544,2551
60201,31.790430196352546,15737
60202,36.155315304087736,16048
60203,32.42775763852926,1931
60301,37.04676753782668,1454
60302,39.49905869696766,14873
60304,38.6256046799415,8889
60305,35.76522506619594,4532
60401,37.01781798245614,3648
60402,35.719777306468714,30176
60403,32.045157780195865,8271
60404,33.34715692858742,8934
60406,36.30841900527924,10797
60408,34.75862737495153,2579
60409,41.42486060111519,14706
60410,33.887333116248776,6142
60411,33.179193123407195,23151
60415,36.632861635220124,5724
60417,35.693805309734515,6215
60419,44.70797287818564,8554
60421,33.24484536082474,1940
60422,44.996062992125985,3683
60423,37.475179856115105,15290
60425,38.09804469273743,3580
60426,33.4880166893072,10306
60428,35.65769496204279,4347
60429,39.56488613529806,5972
60430,33.96137075134168,8944
60431,35.38909199115797,11762
60432,29.19524588249036,8561
60433,29.604649548924357,7205
60435,29.61963097398669,23142
60436,30.42248894504106,7915
60438,35.381722177091795,12310
60439,37.348145248115884,10217
60440,32.83967290067804,26842
60441,37.20255095813499,16386
60442,37.57505166259628,5323
60443,41.98824971901502,9787
60445,32.15256060229999,12087
60446,33.89353813559322,19824
60447,33.90406976744186,6708
60448,37.90902272556814,13333
60449,37.536784741144416,4771
60451,36.944045431768835,17961
60452,34.94907310248339,14295
60453,38.14279813292577,24209
60455,33.67385879935418,6813
60456,34.310164835164834,1820
60457,37.297609433047974,6191
60458,36.09129429892142,6490
60459,36.69629998467902,13054
60461,39.95698380566802,1976
60462,37.11853448275862,18096
60463,35.52578098757138,5954
60464,38.754163559532685,4023
60465,36.39862087256332,7541
60466,35.544896030245745,9522
60467,41.00176446450554,12185
60468,33.502611420612816,2872
60469,39.23315027458812,2003
60471,39.374936278674596,5885
60472,32.255222841225624,1436
60473,39.81341638187631,9071
60475,33.22655894401456,4394
60476,26.962906888720667,1321
60477,36.28150282611105,18046
60478,41.92439993884727,6541
60480,37.40787370103917,2502
60481,32.326709973251816,5234
60482,34.652682255845946,5089
60484,41.33606870229008,2620
60487,39.08187689969605,13160
60490,38.99111730384046,11483
60491,38.44271544271544,10989
60501,35.167898193760266,4872
60502,36.31669820245979,10570
60503,41.84034090909091,8800
60504,37.19194144760168,19743
60505,26.54246559566995,34734
60506,26.95124641944724,25834
60510,30.389555695935986,14247
60513,33.96341331603978,9252
60514,34.81690307328605,4230
60515,33.009327036599764,12705
60516,32.66819743130227,13392
60517,35.36943168771527,17420
60521,37.54163675520459,6965
60523,32.87465606848059,3271
60525,34.64560986821943,13052
60526,34.87791898332009,6295
60527,34.24575555367852,11839
60532,32.751789199739754,13833
60534,31.387572690071075,4643
60538,34.75905483405484,13860
60540,33.227010928423745,20314
60542,33.10016861629255,9489
60544,39.603865708982326,12391
60546,35.10310021629416,6935
60554,30.001540041067763,5844
60555,29.147580293561983,6881
60558,34.75385442811044,5578
60559,29.98289053304187,11894
60561,34.98112790594891,11313
60563,33.35770879687415,18427
60564,43.476725096647776,18883
60565,38.214930924548355,18820
60585,39.51876773780097,10923
60586,38.566857727737975,24425
60601,30.24877192982456,8550
60603,22.13931623931624,585
60605,31.39324089080977,16659
60607,29.31368098159509,16300
60608,34.34221161449029,34147
60609,35.84822278313403,24167
60610,31.381729938715914,24313
60611,27.849773272872767,18745
60612,36.06339549283606,13889
60613,39.91560117836426,32927
60614,34.28219740402697,43606
60615,32.89055644729802,18690
60616,32.088235294117645,26061
60617,46.83748289122075,30686
60618,39.770372503077716,50362
60619,44.010842844600525,22780
60620,45.00262759606491,23786
60621,44.00212089077412,7544
60622,33.9231395417678,33782
60623,40.92174763072437,30178
60624,40.43779809220986,10064
60625,41.43374954539944,41245
60626,41.14235801079234,25759
60628,45.0688946240322,22861
60629,39.72289977675949,42555
60630,38.94960909737029,28140
60631,34.54451316978247,14389
60632,36.724533326087546,36803
60633,38.882030178326474,5103
60634,42.508496907770905,37190
60636,44.0283795231756,8263
60637,37.83849264009097,15829
60638,39.24967638772558,26266
60639,41.967754846779236,39975
60640,40.96636276266916,38499
60641,42.00700530361043,35259
60642,31.209798354808182,13737
60643,42.250311203319505,19280
60644,43.20304935554857,15905
60645,38.063360952874156,19310
60646,35.90382938238326,12613
60647,36.66670936465395,50744
60649,49.03529732678669,18330
60651,42.102132145272286,25139
60652,43.42045697202648,18732
60653,37.51641435618303,11758
60654,26.404410706576485,13898
60655,36.63492868003765,13811
60656,36.84849330357143,14336
60657,37.28332620320855,46750
60659,38.37405425853869,18504
60660,41.5582861280293,23479
60661,28.06765385137889,7361
60706,36.41961736150771,10506
60707,38.711144045513215,20917
60712,31.85759493670886,4740
60714,32.01930603642933,13286
60803,35.47969566840926,10712
60804,33.769354449714605,37317
